"arrest_key","arrest_date","pd_cd","pd_desc","ky_cd","ofns_desc","law_code","law_cat_cd","arrest_boro","arrest_precinct","jurisdiction_code","age_group","perp_sex","perp_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"238942621","2022-01-10T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M","9","0","18-24","M","WHITE","987058","203626","40.72558254","-73.98986919","POINT (-73.98986919 40.72558254)"
"238980679","2022-01-11T00:00:00.000","244","BURGLARY,UNCLASSIFIED,UNKNOWN","107","BURGLARY","PL 1402000","F","Q","101","0","25-44","M","WHITE","1052353","159425","40.604001","-73.754742","POINT (-73.754742 40.604001)"
"239553009","2022-01-23T00:00:00.000","464","JOSTLING","230","JOSTLING","PL 1652501","M","Q","110","1","25-44","M","BLACK","1027679","214505","40.75533648","-73.84324519","POINT (-73.84324519 40.75533648)"
"239651234","2022-01-25T00:00:00.000","153","RAPE 3","104","RAPE","PL 1302503","F","K","71","0","25-44","M","BLACK","998742","181235","40.664121282631","-73.9477648403751","POINT (-73.9477648403751 40.664121282631)"
"241524225","2022-03-03T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","K","84","0","18-24","M","BLACK","988902","192641","40.6954388081238","-73.9832253756043","POINT (-73.9832253756043 40.6954388081238)"
"241038267","2022-02-22T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","B","41","0","45-64","M","BLACK","1013037","236657","40.8162058439227","-73.8960011932583","POINT (-73.8960011932583 40.8162058439227)"
"240817075","2022-02-17T00:00:00.000","175","SEXUAL ABUSE 3,2","233","SEX CRIMES","PL 13052A1","M","K","71","0","<18","M","BLACK","998742","181235","40.664121282631","-73.9477648403751","POINT (-73.9477648403751 40.664121282631)"
"241020842","2022-02-21T00:00:00.000",,"(null)",,"(null)","CPL5700600","9","Q","102","0","25-44","M","BLACK","1032501","198800","40.712206","-73.825952","POINT (-73.825952 40.712206)"
"241455354","2022-03-02T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","K","79","0","45-64","M","BLACK","999496","190300","40.68900139556","-73.9450265328727","POINT (-73.9450265328727 40.68900139556)"
"242619627","2022-03-25T00:00:00.000","244","BURGLARY,UNCLASSIFIED,UNKNOWN","107","BURGLARY","PL 1402000","F","B","44","0","25-44","M","BLACK","1009243","243708","40.835563","-73.909677","POINT (-73.909677 40.835563)"
"242064330","2022-03-14T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K","75","0","25-44","M","BLACK","1017119","183909","40.671404","-73.881509","POINT (-73.881509 40.671404)"
"242479143","2022-03-22T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","B","41","0","45-64","M","BLACK","1013037","236657","40.8162058439227","-73.8960011932583","POINT (-73.8960011932583 40.8162058439227)"
"243994388","2022-04-21T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","K","77","0","25-44","M","BLACK","1003509","185018","40.6744956865259","-73.9305713255961","POINT (-73.9305713255961 40.6744956865259)"
"244102403","2022-04-24T00:00:00.000","793","WEAPONS POSSESSION 3","118","DANGEROUS WEAPONS","PL 2650201","F","K","67","0","25-44","M","BLACK","1008941","177177","40.65295215","-73.91101587","POINT (-73.91101587 40.65295215)"
"244769471","2022-05-08T00:00:00.000","263","ARSON 2,3,4","114","ARSON","PL 1501500","F","K","79","71","18-24","F","BLACK","997933","189148","40.685835","-73.950663","POINT (-73.950663 40.685835)"
"244685468","2022-05-06T00:00:00.000",,"(null)",,"(null)","CPL5700600","9","M","14","3","18-24","M","WHITE HISPANIC","986881","214802","40.756259","-73.990501","POINT (-73.990501 40.756259)"
"245645876","2022-05-25T00:00:00.000","168","SODOMY 1","116","SEX CRIMES","PL 1305001","F","Q","110","0","<18","M","WHITE HISPANIC","1019164","210169","40.7434812638841","-73.8740035373971","POINT (-73.8740035373971 40.7434812638841)"
"245666690","2022-05-26T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","Q","106","0","45-64","M","BLACK","1028607","187930","40.682398279333","-73.8400721577516","POINT (-73.8400721577516 40.682398279333)"
"246374601","2022-06-09T00:00:00.000","397","ROBBERY,OPEN AREA UNCLASSIFIED","105","ROBBERY","PL 1600500","F","B","48","0","25-44","F","BLACK","1017426","245419","40.84023133","-73.8801001","POINT (-73.8801001 40.84023133)"
"246856453","2022-06-19T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","B","47","0","25-44","M","BLACK","1026480","262584","40.8873136344706","-73.8472717577564","POINT (-73.8472717577564 40.8873136344706)"
"246649431","2022-06-15T00:00:00.000",,"(null)",,"(null)","CPL5700600","9","Q","113","0","18-24","F","WHITE HISPANIC","1046399","187126","40.680077","-73.775929","POINT (-73.775929 40.680077)"
"246834681","2022-06-18T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B","41","0","25-44","F","BLACK","1012779","236448","40.815627","-73.896929","POINT (-73.896929 40.815627)"
"247908306","2022-07-12T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","K","73","0","18-24","M","BLACK","1008245","183796","40.6711300016904","-73.9135020552048","POINT (-73.9135020552048 40.6711300016904)"
"248439863","2022-07-23T00:00:00.000","244","BURGLARY,UNCLASSIFIED,UNKNOWN","107","BURGLARY","PL 1402000","F","M","1","0","25-44","M","WHITE","982148","201784","40.720528","-74.007582","POINT (-74.007582 40.720528)"
